"Player","Team","3P","3PA"
"Trae Young","ATL",218,642
"Zaccharie Risacher","ATL",122,344
"De'Andre Hunter","ATL",97,247
"Dyson Daniels","ATL",80,235
"Garrison Mathews","ATL",85,218
"Jayson Tatum","BOS",250,728
"Derrick White","BOS",265,691
"Payton Pritchard","BOS",255,626
"Sam Hauser","BOS",166,399
"Jaylen Brown","BOS",116,358
"Cameron Johnson","BRK",159,408
"Keon Johnson","BRK",126,401
"Jalen Wilson","BRK",122,362
"Ziaire Williams","BRK",103,302
"Tyrese Martin","BRK",99,282
"Coby White","CHI",216,584
"Nikola Vučević","CHI",129,321
"Zach LaVine","CHI",136,305
"Josh Giddey","CHI",105,278
"Patrick Williams","CHI",96,272
"LaMelo Ball","CHO",179,528
"Miles Bridges","CHO",141,450
"Nick Smith Jr.","CHO",104,306
"Brandon Miller","CHO",104,293
"Josh Green","CHO",97,248
"Donovan Mitchell","CLE",233,633
"Darius Garland","CLE",212,529
"Sam Merrill","CLE",137,368
"Max Strus","CLE",113,293
"Ty Jerome","CLE",111,253
"Klay Thompson","DAL",216,553
"Kyrie Irving","DAL",144,359
"Spencer Dinwiddie","DAL",109,326
"P.J. Washington","DAL",91,239
"Naji Marshall","DAL",60,218
"Michael Porter Jr.","DEN",193,489
"Jamal Murray","DEN",156,397
"Nikola Jokić","DEN",138,331
"Russell Westbrook","DEN",94,291
"Julian Strawther","DEN",94,269
"Malik Beasley","DET",319,766
"Tim Hardaway Jr.","DET",168,457
"Cade Cunningham","DET",149,418
"Tobias Harris","DET",91,264
"Simone Fontecchio","DET",76,227
"Stephen Curry","GSW",311,784
"Buddy Hield","GSW",203,549
"Moses Moody","GSW",126,337
"Brandin Podziemski","GSW",115,309
"Andrew Wiggins","GSW",94,248
"Jalen Green","HOU",234,661
"Dillon Brooks","HOU",186,469
"Fred VanVleet","HOU",159,461
"Jabari Smith Jr.","HOU",98,277
"Tari Eason","HOU",63,184
"Tyrese Haliburton","IND",218,562
"Myles Turner","IND",156,394
"Pascal Siakam","IND",126,324
"Obi Toppin","IND",110,301
"Bennedict Mathurin","IND",98,288
"James Harden","LAC",235,668
"Norman Powell","LAC",179,428
"Amir Coffey","LAC",101,247
"Kris Dunn","LAC",75,224
"Derrick Jones Jr.","LAC",78,219
"Austin Reaves","LAL",200,531
"LeBron James","LAL",149,396
"Dalton Knecht","LAL",128,340
"Gabe Vincent","LAL",109,309
"Luka Dončić","LAL",102,269
"Desmond Bane","MEM",164,418
"Jaylen Wells","MEM",138,392
"Jaren Jackson Jr.","MEM",146,389
"Santi Aldama","MEM",120,326
"Ja Morant","MEM",88,285
"Tyler Herro","MIA",251,670
"Duncan Robinson","MIA",190,483
"Terry Rozier","MIA",91,308
"Haywood Highsmith","MIA",89,233
"Bam Adebayo","MIA",79,221
"Damian Lillard","MIL",197,524
"Gary Trent Jr.","MIL",180,433
"Brook Lopez","MIL",139,373
"A.J. Green","MIL",155,363
"Taurean Prince","MIL",147,335
"Anthony Edwards","MIN",320,811
"Naz Reid","MIN",175,462
"Donte DiVincenzo","MIN",174,438
"Nickeil Alexander-Walker","MIN",141,370
"Julius Randle","MIN",108,314
"CJ McCollum","NOP",171,459
"Trey Murphy III","NOP",158,438
"Jordan Hawkins","NOP",110,332
"Jose Alvarado","NOP",111,309
"Dejounte Murray","NOP",52,174
"Mikal Bridges","NYK",164,463
"OG Anunoby","NYK",171,460
"Jalen Brunson","NYK",152,397
"Karl-Anthony Towns","NYK",142,338
"Miles McBride","NYK",115,312
"Isaiah Joe","OKC",192,466
"Shai Gilgeous-Alexander","OKC",163,435
"Luguentz Dort","OKC",170,413
"Jalen Williams","OKC",124,340
"Aaron Wiggins","OKC",130,339
"Franz Wagner","ORL",104,352
"Kentavious Caldwell-Pope","ORL",113,330
"Paolo Banchero","ORL",87,272
"Jalen Suggs","ORL",76,242
"Tristan Da Silva","ORL",80,239
"Tyrese Maxey","PHI",161,478
"Guerschon Yabusele","PHI",104,274
"Paul George","PHI",96,268
"Kelly Oubre Jr.","PHI",71,242
"Quentin Grimes","PHI",82,220
"Devin Booker","PHO",183,551
"Royce O'Neale","PHO",179,441
"Tyus Jones","PHO",166,401
"Kevin Durant","PHO",160,372
"Grayson Allen","PHO",149,350
"Anfernee Simons","POR",215,593
"Shaedon Sharpe","POR",147,472
"Toumani Camara","POR",135,360
"Deni Avdija","POR",125,342
"Scoot Henderson","POR",105,297
"Keegan Murray","SAC",154,449
"Malik Monk","SAC",139,428
"Keon Ellis","SAC",139,321
"De'Aaron Fox","SAC",92,286
"DeMar DeRozan","SAC",84,256
"Julian Champagnie","SAS",178,480
"Devin Vassell","SAS",158,429
"Victor Wembanyama","SAS",142,403
"Chris Paul","SAS",140,371
"Harrison Barnes","SAS",156,360
"Gradey Dick","TOR",114,326
"RJ Barrett","TOR",107,306
"Scottie Barnes","TOR",76,280
"Jamison Battle","TOR",105,259
"Ochai Agbaji","TOR",101,253
"Keyonte George","UTA",174,507
"Lauri Markkanen","UTA",138,399
"Brice Sensabaugh","UTA",157,372
"Johnny Juzang","UTA",118,314
"Collin Sexton","UTA",110,271
"Jordan Poole","WAS",235,622
"Bub Carrington","WAS",138,407
"Kyshawn George","WAS",114,354
"Alex Sarr","WAS",105,341
"Corey Kispert","WAS",120,330
